# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	44500
#@/user_id	win_home_mypc
dfyt 	奔放	c=1 d=0.687289 t=44500
dg 	三	c=31 d=2.74196 t=44500
dgep 	感受	c=2 d=4.83599e-05 t=44500
dgip 	感觉	c=40 d=1.35969 t=44500
dgjq 	硬	c=1 d=0.56836 t=44500
dgk 	咸	c=2 d=0.802519 t=44500
dgkn 	感	c=1 d=0.251579 t=44500
dgte 	硬盘	c=2 d=0.298391 t=44500
dgwr 	硬件	c=1 d=6.68931e-06 t=44500
dgxw 	三维	c=1 d=1.48131e-05 t=44500
dgyt 	感谢	c=3 d=0.318627 t=44500
dh 	丰	c=2 d=0.99005 t=44500
dhb 	存	c=10 d=2.04099 t=44500
dhd 	慧	c=1 d=0.00932553 t=44500
dhdh 	存在	c=22 d=0.81593 t=44500
dhfg 	破坏	c=1 d=0.197899 t=44500
dhit 	存活	c=10 d=0.992644 t=44500
dhpg 	丰富	c=2 d=0.185404 t=44500
dhrk 	破损	c=2 d=0.764398 t=44500
dhsi 	存档	c=22 d=2.85172 t=44500
dhww 	慧谷	c=1 d=0.416862 t=44500
dhwy 	存储	c=1 d=1.94344e-23 t=44500
dijf 	耗时	c=1 d=1.61273e-05 t=44500
diny 	耗尽	c=1 d=0.618783 t=44500
dj 	百	c=4 d=0.51897 t=44500
djbb 	辈子	c=1 d=1.13821e-23 t=44500
djd 	非	c=22 d=1.966 t=44500
djgk 	碍事	c=1 d=0.0168231 t=44500
djip 	非常	c=2 d=0.891366 t=44500
djya 	百度	c=2 d=0.0510474 t=44500
dk 	右	c=47 d=2.54267 t=44500
dl 	历	c=1 d=0.367879 t=44500
dljf 	历时	c=1 d=1.0299e-23 t=44500
dlkq 	历史	c=2 d=0.0112221 t=44500
dlqk 	奋勉	c=1 d=0.000308127 t=44500
dm 	面	c=24 d=1.63677 t=44500
dmcf 	面对	c=3 d=0.48224 t=44500
dmdm 	页面	c=1 d=0.113042 t=44500
dmeg 	而且	c=8 d=1.37485 t=44500
dmet 	耐用	c=1 d=0.0804596 t=44500
dmh 	布	c=2 d=0.806541 t=44500
dmj 	而	c=12 d=0.876795 t=44500
dmjt 	面临	c=1 d=0.124307 t=44500
dmjv 	耍	c=4 d=1.01614 t=44500
dmnn 	布局	c=4 d=1 t=44500
dmnn 	而已	c=1 d=0.0505395 t=44500
dmod 	耐烦	c=1 d=2.89483e-05 t=44500
dmqn 	面包	c=1 d=0.826959 t=44500
dmrn 	厕所	c=1 d=0.0202419 t=44500
dmsr 	面板	c=3 d=0.458406 t=44500
dmts 	面条	c=2 d=0.382893 t=44500
dmtw 	页签	c=4 d=2.21786e-17 t=44500
dmu 	页	c=6 d=1.06066 t=44500
dn 	成	c=89 d=2.58581 t=44500
dnal 	成功	c=4 d=0.215456 t=44500
dncf 	成对	c=1 d=0.0473589 t=44500
dnjs 	成果	c=1 d=0.0102037 t=44500
dnkm 	成员	c=4 d=0.128952 t=44500
dnnl 	盛	c=1 d=6.5669e-24 t=44500
dnsg 	成本	c=3 d=0.985112 t=44500
dnv 	万	c=9 d=0.980199 t=44500
dnyb 	成熟	c=1 d=0.0473589 t=44500
dnyv 	盛唐	c=4 d=0.748386 t=44500
do 	灰	c=3 d=0.600496 t=44500
dp 	达	c=2 d=0.00712048 t=44500
dpgc 	达到	c=3 d=0.807998 t=44500
dpi 	达	c=4 d=0.273919 t=44500
dpq 	碗	c=2 d=0.51438 t=44500
dpsf 	达标	c=1 d=1.85539e-07 t=44500
dq 	克	c=2 d=0.56026 t=44500
dqpg 	确定	c=22 d=2.05105 t=44500
dqpu 	确实	c=6 d=0.337902 t=44500
dqq 	爽	c=17 d=2.45915 t=44500
dqw 	砍	c=1 d=0.0314298 t=44500
dqwk 	确保	c=4 d=1.77403 t=44500
