# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	56292
#@/user_id	win_work_gyyx
dmeg 	而且	c=15 d=1.37485 t=56292
dmet 	耐用	c=1 d=0.0804596 t=56292
dmh 	布	c=2 d=0.806541 t=56292
dmj 	而	c=14 d=0.876795 t=56292
dmjt 	面临	c=1 d=0.124307 t=56292
dmjv 	耍	c=4 d=1.01614 t=56292
dmnn 	布局	c=6 d=1 t=56292
dmnn 	而已	c=2 d=0.0505395 t=56292
dmod 	耐烦	c=2 d=2.89483e-05 t=56292
dmqn 	面包	c=1 d=0.826959 t=56292
dmqy 	耐久	c=3 d=0.00498293 t=56292
dmrn 	厕所	c=2 d=0.0202419 t=56292
dmsr 	面板	c=3 d=0.458406 t=56292
dmts 	面条	c=4 d=0.382893 t=56292
dmtw 	页签	c=4 d=2.21786e-17 t=56292
dmu 	页	c=6 d=1.06066 t=56292
dn 	成	c=102 d=2.58581 t=56292
dnal 	成功	c=11 d=0.802928 t=56292
dncf 	成对	c=1 d=0.0473589 t=56292
dndn 	尴尬	c=1 d=8.74162e-07 t=56292
dnjs 	成果	c=1 d=0.0102037 t=56292
dnkm 	成员	c=4 d=0.128952 t=56292
dnnl 	盛	c=2 d=8.92125e-11 t=56292
dnsg 	成本	c=3 d=0.985112 t=56292
dnta 	成长	c=3 d=3.92173e-18 t=56292
dnv 	万	c=12 d=0.980199 t=56292
dnyb 	成熟	c=1 d=0.0473589 t=56292
dnyv 	盛唐	c=4 d=0.748386 t=56292
do 	灰	c=11 d=0.600496 t=56292
dp 	达	c=3 d=0.00712048 t=56292
dpdn 	达成	c=2 d=1.64134e-06 t=56292
dpgc 	达到	c=12 d=1.91886 t=56292
dpi 	达	c=5 d=0.273919 t=56292
dpq 	碗	c=3 d=0.51438 t=56292
dpsf 	达标	c=1 d=1.85539e-07 t=56292
dpyf 	石家庄	c=1 d=5.4984e-23 t=56292
dq 	克	c=2 d=0.56026 t=56292
dqpg 	确定	c=28 d=2.05105 t=56292
dqpu 	确实	c=8 d=0.337902 t=56292
dqq 	爽	c=22 d=2.45915 t=56292
dqw 	砍	c=1 d=0.0314298 t=56292
dqwk 	确保	c=4 d=1.77403 t=56292
dqyw 	确认	c=38 d=2.30054 t=56292
dr 	原	c=1 d=3.28474e-21 t=56292
drde 	原有	c=1 d=0.0972957 t=56292
drgj 	原理	c=3 d=2.16398 t=56292
drgo 	原来	c=13 d=0.997627 t=56292
dri 	原	c=15 d=1.83273 t=56292
drld 	原因	c=10 d=1.24085 t=56292
drlt 	原图	c=1 d=0.0239928 t=56292
droa 	原煤	c=2 d=0.000639387 t=56292
drsg 	原本	c=1 d=4.51106e-18 t=56292
druj 	愿意	c=3 d=0.188264 t=56292
drvc 	原始	c=1 d=0.0558548 t=56292
drww 	原价	c=1 d=0.802519 t=56292
ds 	厅	c=1 d=2.53969e-24 t=56292
dsag 	奇巧	c=1 d=1.01177e-20 t=56292
dsfh 	奇趣	c=1 d=2.2525e-24 t=56292
dsnc 	奇怪	c=3 d=0.176254 t=56292
dsvi 	奇妙	c=1 d=0.0858632 t=56292
dt 	帮	c=15 d=0.529932 t=56292
dtan 	厚积薄发	c=1 d=7.96861e-06 t=56292
dtb 	邦	c=2 d=1.9519e-13 t=56292
dteg 	帮助	c=8 d=1.36527 t=56292
dtf 	寿	c=2 d=9.08681e-12 t=56292
dtny 	帮忙	c=2 d=0.263158 t=56292
dtp 	砭	c=1 d=0.00794669 t=56292
duag 	碰巧	c=1 d=0.0187793 t=56292
dud 	磋	c=1 d=0.423162 t=56292
duo 	碰	c=14 d=0.937067 t=56292
duru 	碰撞	c=28 d=1.97637 t=56292
dvi 	碌	c=1 d=0.0265162 t=56292
